name,tipo,latitude,longitude,cep
Toyota,car,-23.5071487,-46.8475104,Sem CEP
Consultório da Praia,kiosk,-23.0223041,-43.4464349,Sem CEP
Padaria Nosso Pão,bakery,-22.7453142,-47.6218358,Sem CEP
Prezunic,supermarket,-22.8835123,-43.3433513,Sem CEP
Mercadinhos São Luiz,supermarket,-3.7391102,-38.5400286,Sem CEP
Padaria Santa Cecília,bakery,-3.7229979,-38.5507686,Sem CEP
Itaú,bank,-22.9059228,-43.1738471,Sem CEP
Sem nome,kiosk,-22.9067780,-43.1734381,Sem CEP
Bradesco,bank,-22.9054880,-43.1741647,Sem CEP
Sem nome,garden_centre,-22.9046543,-43.1740128,Sem CEP
Sem nome,kiosk,-22.9049411,-43.1760665,Sem CEP
Dufry,department_store,-22.9048763,-43.1759592,Sem CEP
Sem nome,kiosk,-22.9054561,-43.1757720,Sem CEP
Taco,clothes,-22.9046945,-43.1760364,Sem CEP
A. D. Life Style,clothes,-22.9045522,-43.1761222,Sem CEP
Allú,clothes,-22.9044810,-43.1761652,Sem CEP
World Griff,clothes,-22.9043229,-43.1762596,Sem CEP
Opção,clothes,-22.9042596,-43.1762939,Sem CEP
Pami,bakery,-27.7646352,-54.4806260,Sem CEP
Super Cotrirosa,supermarket,-27.7613647,-54.4825434,98940-000
Nacional,supermarket,-27.8666830,-54.4728187,Sem CEP
Banco do Brasil,bank,-21.7103021,-47.4792153,Sem CEP
Sem nome,convenience,-14.8906050,-40.8449007,Sem CEP
Caixa Econômica Federal,bank,-21.7107694,-47.4779122,Sem CEP
São Sebastião,supermarket,-21.7060774,-47.4821909,Sem CEP
Rycoy Supermercado,supermarket,-23.6525319,-46.7337329,Sem CEP
Caixa Econômica Federal,bank,-22.9055148,-43.1776647,Sem CEP
H. Stern,jewelry,-22.9052153,-43.1777741,20050-005
TIM,mobile_phone,-22.9053210,-43.1777327,Sem CEP
Banco do Brasil,bank,-22.9059669,-43.1774425,Sem CEP
Padaria Guanabara,bakery,-22.0115677,-47.8966654,Sem CEP
Sem nome,bakery,-22.0123714,-47.8887391,Sem CEP
Padaria Bella Mama,bakery,-22.0005234,-47.9011727,Sem CEP
Sem nome,supermarket,-22.8305741,-43.2904530,Sem CEP
Carro Legal,car,-22.9458374,-43.3620437,Sem CEP
Prezunic,supermarket,-22.9428892,-43.3671335,Sem CEP
Multieconomia,supermarket,-22.9475668,-43.3718671,Sem CEP
Rabicho Rações,pet,-22.9487697,-43.3719915,Sem CEP
MD Videolocadora,video,-22.9529428,-43.3662666,Sem CEP
Padaria Felipão,bakery,-22.9524607,-43.3655027,Sem CEP
L.M Material de Construções,hardware,-22.9526109,-43.3648847,Sem CEP
Lan House,yes,-22.9523105,-43.3648504,Sem CEP
Barbearia do Kadim,hairdresser,-22.9487295,-43.3680836,Sem CEP
Barbearia K & MK,hairdresser,-22.9497412,-43.3671738,Sem CEP
Espaço Cor da Pele,hairdresser,-22.9498123,-43.3648563,Sem CEP
Hortifrut Brasileiro,supermarket,-22.9488559,-43.3623758,Sem CEP
Banco do Brasil,bank,-22.0177230,-47.8915617,Sem CEP
Banco Santander,bank,-22.0076888,-47.8970910,Sem CEP
Banco do Brasil,bank,-22.8962915,-43.1680878,Sem CEP
Itaú,bank,-22.8961921,-43.1684084,Sem CEP
Panificadora San Vale,bakery,-5.8665988,-35.2247348,Sem CEP
Sem nome,supermarket,-5.8571443,-35.2356755,Sem CEP
Sem nome,supermarket,-5.8551890,-35.2390744,Sem CEP
Banco do Brasil,bank,-5.8641875,-35.1885603,Sem CEP
Banco do Brasil,bank,-5.7944981,-35.2190892,59040-200
Carrefour,supermarket,-5.7578709,-35.2479934,Sem CEP
Bom do Trigo,convenience,-1.4438681,-48.4879215,Sem CEP
Padaria Metrópole,bakery,-1.4475645,-48.4900381,Sem CEP
Sem nome,bakery,-1.4480553,-48.4912775,Sem CEP
Empório Vila Árabe,bakery,-19.9387888,-43.9427965,Sem CEP
Sacolão Okino,supermarket,-22.0004748,-47.8976083,13566-586
Carrefour,supermarket,-15.8358680,-47.8345506,Sem CEP
Sem nome,supermarket,-5.8267715,-35.2378052,Sem CEP
Sem nome,supermarket,-5.8217421,-35.2361916,Sem CEP
Grepar,supermarket,-29.1667565,-51.5208765,Sem CEP
Apolo,supermarket,-29.1726405,-51.5201338,Sem CEP
Athena,convenience,-1.4464455,-48.4939409,Sem CEP
New Ótica,optician,-22.9067163,-43.1768858,Sem CEP
Chapeux,clothes,-22.9068112,-43.1768514,Sem CEP
Varadero,clothes,-22.9069140,-43.1768171,Sem CEP
Sem nome,clothes,-22.9070168,-43.1767742,Sem CEP
Levi's,clothes,-22.9071196,-43.1767399,Sem CEP
Ortobom,bed,-22.9065266,-43.1769544,Sem CEP
Victor Hugo,clothes,-22.9057913,-43.1772291,Sem CEP
Drop's,clothes,-22.9058698,-43.1772012,Sem CEP
Blu-x,clothes,-22.9059481,-43.1771734,20040-006
New Ótica,optician,-22.9060361,-43.1771422,Sem CEP
Borelli,clothes,-22.9061240,-43.1771109,Sem CEP
Itaú,bank,-22.9062278,-43.1770730,Sem CEP
Sem nome,kiosk,-22.9073805,-43.1766969,Sem CEP
Bradesco,bank,-22.9074358,-43.1766111,Sem CEP
Itaú,bank,-22.9075228,-43.1765768,Sem CEP
Sem nome,kiosk,-22.9075939,-43.1766283,Sem CEP
Banco Santander,bank,-22.9076651,-43.1765253,Sem CEP
Sem nome,kiosk,-22.9075149,-43.1758386,Sem CEP
Sem nome,kiosk,-22.9070325,-43.1742165,Sem CEP
Cópia & Etc,copyshop,-22.9068392,-43.1738177,Sem CEP
Sem nome,kiosk,-22.9070650,-43.1744220,Sem CEP
Sem nome,supermarket,-14.1773527,-47.8154865,Sem CEP
Itaú,bank,-22.9044882,-43.1753227,Sem CEP
Oi,yes,-22.9047333,-43.1757347,Sem CEP
Banco Santander,bank,-22.9045910,-43.1755201,Sem CEP
Engraxataria Cataldo,yes,-22.9056434,-43.1770926,Sem CEP
Itaú,bank,-22.9057348,-43.1772326,Sem CEP
Livraria RT,books,-22.9054538,-43.1767782,Sem CEP
Sem nome,bank,-22.9054985,-43.1768520,Sem CEP
Vinhos Lidador,beverages,-22.9051858,-43.1763357,Sem CEP
Morada Credi,money_lender,-22.9052282,-43.1764059,Sem CEP
Elle et Lui,clothes,-22.9053481,-43.1766036,Sem CEP
