MUNICIPIO,sigla_uf,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total,longitude,latitude
BOCA DO ACRE,AM,3627.0,3662.0,3339.0,3045.0,6206.0,5255.0,4160.0,2718.0,1634.0,903.0,409.0,34958.0,-68.0480804824136,-8.77304351582136
BORBA,AM,5203.0,4906.0,4220.0,3797.0,7899.0,6219.0,4407.0,2663.0,1616.0,898.0,500.0,42328.0,-59.5347237111554,-4.95690352938543
CAAPIRANGA,AM,1574.0,1534.0,1363.0,1234.0,2524.0,1974.0,1490.0,870.0,541.0,274.0,104.0,13482.0,-61.877761433212,-3.08198792971445
CANUTAMA,AM,1479.0,1432.0,1261.0,1254.0,2897.0,2551.0,2222.0,1424.0,869.0,436.0,156.0,15981.0,-64.0968832464316,-7.40241652900658
CARAUARI,AM,3436.0,3371.0,2953.0,2669.0,5399.0,4061.0,2858.0,1945.0,1155.0,605.0,267.0,28719.0,-67.3370628436257,-5.11879055506829
CAREIRO,AM,3888.0,4084.0,3556.0,3280.0,7211.0,5768.0,4869.0,3074.0,1833.0,892.0,365.0,38820.0,-60.1832400681341,-3.77076401831055
CAREIRO DA VARZEA,AM,2886.0,3007.0,2781.0,2462.0,5381.0,4821.0,4228.0,3117.0,1620.0,818.0,338.0,31459.0,-59.5998669042647,-3.28620255356357
COARI,AM,9182.0,9221.0,9023.0,8651.0,17117.0,13630.0,9078.0,5163.0,3270.0,1638.0,740.0,86713.0,-64.1240694936317,-4.43694907374258
CODAJAS,AM,3174.0,3068.0,2753.0,2806.0,5841.0,5064.0,3223.0,1956.0,1073.0,508.0,225.0,29691.0,-62.9733603743665,-3.28910677101363
EIRUNEPE,AM,4550.0,4393.0,3921.0,3368.0,6419.0,5195.0,3529.0,2297.0,1441.0,706.0,302.0,36121.0,-70.2216361949179,-7.02280042603276
ENVIRA,AM,2589.0,2555.0,2284.0,2000.0,3918.0,2974.0,2019.0,1198.0,655.0,357.0,199.0,20748.0,-70.0551410416077,-7.5737113630618
FONTE BOA,AM,2095.0,1989.0,1827.0,1595.0,2895.0,2200.0,1544.0,1012.0,680.0,390.0,182.0,16409.0,-66.3583439122927,-2.49224127386437
GUAJARA,CE,2127.0,2016.0,1761.0,1669.0,3213.0,2595.0,1671.0,1209.0,550.0,270.0,112.0,17193.0,-41.0041873438785,-3.8669937684425
HUMAITA,AM,5465.0,5465.0,5081.0,5121.0,11136.0,9268.0,6881.0,4474.0,2580.0,1228.0,496.0,57195.0,-62.4854224361573,-7.36231537512259
HUMAITA,RS,5465.0,5465.0,5081.0,5121.0,11136.0,9268.0,6881.0,4474.0,2580.0,1228.0,496.0,57195.0,-53.9795471692826,-27.5741390862716
IPIXUNA,AM,4807.0,3976.0,3239.0,3000.0,5189.0,4699.0,2780.0,1841.0,970.0,483.0,188.0,31172.0,-71.4158663854653,-7.18115218940703
IRANDUBA,AM,5256.0,5304.0,4920.0,4504.0,8408.0,6802.0,6060.0,4155.0,2530.0,1239.0,540.0,49718.0,-60.4804551492185,-3.09513582977047
ITACOATIARA,AM,10867.0,10953.0,9927.0,8942.0,18376.0,15197.0,12406.0,8298.0,5184.0,2666.0,1230.0,104046.0,-58.7774525783139,-3.17460510400819
ITAMARATI,AM,1032.0,932.0,771.0,729.0,1504.0,1163.0,764.0,465.0,250.0,132.0,35.0,7777.0,-68.1141725487951,-6.68324988625596
ITAPIRANGA,AM,970.0,969.0,873.0,806.0,1670.0,1355.0,1102.0,737.0,467.0,254.0,109.0,9312.0,-58.6200410362293,-2.49859675755637
ITAPIRANGA,SC,970.0,969.0,873.0,806.0,1670.0,1355.0,1102.0,737.0,467.0,254.0,109.0,9312.0,-53.7112547435478,-27.1122096761031
JAPURA,AM,216.0,231.0,224.0,176.0,321.0,241.0,177.0,94.0,39.0,23.0,13.0,1755.0,-68.3206912367161,-1.69808371299853
JAPURA,PR,216.0,231.0,224.0,176.0,321.0,241.0,177.0,94.0,39.0,23.0,13.0,1755.0,-52.5411217660064,-23.4388976374821
JURUA,PB,2013.0,1903.0,1721.0,1625.0,2985.0,2187.0,1473.0,814.0,462.0,216.0,96.0,15495.0,-37.8028292739195,-7.5005694575856
JUTAI,MS,2095.0,1818.0,1489.0,1249.0,2289.0,1691.0,1135.0,795.0,492.0,288.0,121.0,13462.0,-54.4893822690404,-22.7748828292816
LABREA,AM,5409.0,5236.0,4734.0,4402.0,8683.0,7332.0,5090.0,3340.0,2050.0,976.0,433.0,47685.0,-65.8115120506184,-8.37549604744348
MANACAPURU,AM,10447.0,10671.0,9766.0,9021.0,18360.0,14907.0,11171.0,7295.0,4473.0,2349.0,1153.0,99613.0,-60.958418469553,-3.29135704251422
MANAQUIRI,AM,3914.0,3859.0,3440.0,3187.0,6254.0,5069.0,3560.0,2560.0,1288.0,611.0,239.0,33981.0,-60.6970161239146,-3.77891447074775
MANAUS,AM,173176.0,182624.0,195468.0,199775.0,413206.0,378413.0,313557.0,204616.0,120925.0,52956.0,21187.0,2255903.0,-60.2596377045424,-2.62595709140444
MANICORE,AM,6214.0,6234.0,5496.0,5041.0,11109.0,8878.0,6265.0,4087.0,2361.0,1196.0,524.0,57405.0,-61.4461850774039,-6.45807437356214
MARAA,MG,2317.0,2343.0,2112.0,2003.0,3713.0,2553.0,1517.0,940.0,470.0,240.0,90.0,18298.0,-43.3313512294406,-20.3290708689908
MAUES,AM,8543.0,8215.0,7127.0,6051.0,11694.0,9044.0,6391.0,4246.0,2880.0,1253.0,715.0,66159.0,-58.0600433617327,-4.98359784858665
NHAMUNDA,AM,2337.0,2272.0,1895.0,1755.0,3878.0,3253.0,2613.0,1790.0,1049.0,570.0,298.0,21710.0,-57.6564775090397,-1.6805123493295
NOVA OLINDA DO NORTE,AM,4224.0,4095.0,3693.0,3580.0,7419.0,6084.0,4192.0,2741.0,1592.0,659.0,386.0,38665.0,-58.6020173213549,-3.9882035110943
NOVO AIRAO,AM,2216.0,2208.0,2006.0,1742.0,3564.0,3045.0,2376.0,1636.0,968.0,432.0,202.0,20395.0,-61.7015891514917,-2.04703351459926
NOVO ARIPUANA,AM,2674.0,2532.0,2187.0,2294.0,5102.0,4372.0,3157.0,2067.0,1195.0,586.0,277.0,26443.0,-60.4753728867771,-6.8223609898678
PARINTINS,AM,12340.0,12618.0,11442.0,10335.0,21286.0,16931.0,12675.0,8670.0,5726.0,2935.0,1481.0,116439.0,-56.854086035591,-2.68824756119278
PAUINI,AM,2482.0,2407.0,2220.0,2067.0,3670.0,2881.0,1776.0,1071.0,614.0,314.0,114.0,19616.0,-68.1974223954902,-7.75831990772681
PRESIDENTE FIGUEIREDO,AM,3798.0,3846.0,3592.0,3515.0,7508.0,5228.0,4317.0,3246.0,2047.0,782.0,216.0,38095.0,-59.9890262673095,-1.37237232890614
RIO PRETO DA EVA,AM,3137.0,3140.0,3047.0,3305.0,6622.0,5310.0,4419.0,2993.0,1758.0,840.0,285.0,34856.0,-59.6383812622835,-2.52984169197409
SANTA ISABEL DO RIO NEGRO,AM,4095.0,3872.0,3559.0,2733.0,4372.0,3205.0,2050.0,1338.0,706.0,432.0,204.0,26566.0,-65.5220599568439,-0.318527651518917
SANTO ANTONIO DO ICA,PR,2838.0,2668.0,2206.0,1900.0,4086.0,3080.0,1803.0,1097.0,684.0,357.0,170.0,20889.0,-52.3561902362728,-22.699010432645
SAO GABRIEL DA CACHOEIRA,AM,5479.0,5414.0,5136.0,4687.0,8572.0,5996.0,4646.0,3376.0,1996.0,1211.0,518.0,47031.0,-67.997831194677,0.374377602203598
SAO PAULO DE OLIVENCA,AM,5144.0,4833.0,4202.0,3835.0,7608.0,5728.0,3800.0,2890.0,1481.0,908.0,408.0,40837.0,-69.4497854739083,-4.49702688524034
SAO SEBASTIAO DO UATUMA,AM,1747.0,1668.0,1458.0,1424.0,2742.0,2151.0,1639.0,1048.0,511.0,219.0,71.0,14678.0,-58.702735134515,-1.94601063442915
SILVES,AM,1141.0,1084.0,919.0,758.0,1601.0,1187.0,1042.0,734.0,493.0,231.0,99.0,9289.0,-58.536229278143,-2.82214559064343
TABATINGA,AM,8238.0,7886.0,7536.0,6954.0,12310.0,9728.0,6957.0,4594.0,2563.0,1220.0,516.0,68502.0,-69.6814448002198,-4.02769785976561
TABATINGA,SP,8238.0,7886.0,7536.0,6954.0,12310.0,9728.0,6957.0,4594.0,2563.0,1220.0,516.0,68502.0,-48.6291798626488,-21.7126771222298
TAPAUA,MG,1854.0,1754.0,1530.0,1470.0,3075.0,2570.0,1746.0,1279.0,951.0,453.0,194.0,16876.0,-41.6114969065323,-19.7385725273137
TEFE,,6927.0,6845.0,6308.0,5758.0,10542.0,8611.0,6187.0,3838.0,2356.0,1297.0,581.0,59250.0,,
TONANTINS,AM,2570.0,2439.0,2172.0,1852.0,3757.0,2783.0,1537.0,981.0,529.0,288.0,130.0,19038.0,-67.8278151553661,-2.69159860668572
UARINI,AM,1914.0,1742.0,1483.0,1377.0,2576.0,1853.0,1332.0,759.0,460.0,250.0,93.0,13839.0,-65.4119641323842,-3.1670369752195
URUCARA,AM,1839.0,1811.0,1532.0,1356.0,2736.0,2018.0,1782.0,1370.0,854.0,488.0,221.0,16007.0,-59.0300654111887,-0.89403651623322
URUCURITUBA,AM,2853.0,2721.0,2342.0,2074.0,4495.0,3723.0,2486.0,1617.0,1027.0,493.0,267.0,24098.0,-57.7702701148359,-2.81239203859773
AMAJARI,RR,2177.0,1700.0,1396.0,1247.0,2363.0,1812.0,1322.0,827.0,482.0,176.0,59.0,13561.0,-62.4368787865294,3.7334573280194
ALTO ALEGRE,RR,1955.0,1948.0,1674.0,1232.0,2474.0,1934.0,1473.0,1223.0,821.0,382.0,133.0,15249.0,-62.7554809451698,3.07866899094087
ALTO ALEGRE,SP,1955.0,1948.0,1674.0,1232.0,2474.0,1934.0,1473.0,1223.0,821.0,382.0,133.0,15249.0,-50.1921257425364,-21.6127530763681
ALTO ALEGRE,RS,1955.0,1948.0,1674.0,1232.0,2474.0,1934.0,1473.0,1223.0,821.0,382.0,133.0,15249.0,-52.9888365804395,-28.8046767615412
BOA VISTA,RR,35784.0,33830.0,35249.0,35769.0,85837.0,84256.0,58988.0,35574.0,20084.0,8357.0,2863.0,436591.0,-60.7179908014411,3.11784589611939
